cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;nome_fantasia;situacao_cadastral;data_situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd1;telefone1;ddd2;telefone2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial
7446448;1;82;1;Não informado;2;;2005-06-09;5611203;Não informado;PRACA;CONSELHEIRO MACEDO SOARES;150;Não informado;CENTRO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
832344;1;67;1;SOL POENTE DEDETIZADORA;2;2006-12-21;1995-09-14;8122200;8129000;PRACA;JOAQUIM PAULO DA SILVA;10;Não informado;SAO JOSE DE IMBASSAI;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7493046;1;39;1;ATACADAO DAS CALCINHAS;4;2019-03-28;2005-07-13;4781400;4755502;PRACA;CONSELHEIRO MACEDO SOARES;146;LOJA;CENTRO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7510059;1;79;1;Não informado;8;2021-11-03;2005-07-07;4712100;Não informado;RUA;FRANCISCO DIAS FERREIRA;S/A;"LOTE: 5; QUADRA: 8;";PONTA GROSSA;24914315.0;RJ;5853;21;26378511;Não informado;Não informado;21;27012692;Não informado;Não informado;Não informado
7510932;1;23;1;Não informado;8;2015-02-09;2005-07-05;4712100;Não informado;RUA;25 QUADRA 34 LOTE 25;S/N;Não informado;ITAIPUACU;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7545533;1;6;1;AFRODITE;8;2018-12-07;2005-08-09;4781400;4789001;RUA;ATHAYDE PARREIRAS;107;LOJA  01 E 02;CENTRO;24901000.0;RJ;5853;21;26371610;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7554386;1;22;1;Não informado;2;2005-08-08;2005-08-08;4110700;6821801;RUA;UM;S/N;LOTE  4 A-2                     QUADRA 120          LOJA  10 PARTE;LOTEAMENTO JARDIM ATLANTICO;24900001.0;RJ;5853;21;99824054;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7636315;1;79;1;Não informado;8;2017-09-27;2005-09-27;4789001;4759899;RUA;DEZESSETE DE NOVEMBRO;S/N;      QUADRA 14           LOTE  33 A;PRAIA DE ITAIPUACU (ITAIPUACU);24936770.0;RJ;5853;21;26218314;Não informado;Não informado;21;26226472;acaccont@predialnet.com.br;Não informado;Não informado
3434337;1;3;1;RCM;4;2018-11-30;1999-06-05;9430800;9493600,9499500;RUA;48;SN;LOTE 38 QUADRA 95;BAIRRO DA AMIZADE;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
1787624;1;63;1;Não informado;8;2008-12-31;1996-03-13;9430800;9493600,9499500;ESTRADA;DO ESPRAIADO;S/N;Não informado;ESPRAIADO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
4139694;1;1;1;IGREJA EVANGELICA;8;2015-02-09;1997-11-05;9491000;Não informado;ESTRADA;DO RETIRO;S/N;JARDIM IMPERADOR;1;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7806858;1;97;1;Não informado;8;2009-05-26;2006-01-09;4741500;4744099;RUA;DOIS;S/N;QD 30 LOTE 05 LOJA 02;ITAIPUACU;24900001.0;RJ;5853;21;26136583;21;26225632;Não informado;Não informado;ORTIMACONTABIL@URBI.COM.BR;Não informado;Não informado
7844843;1;13;1;Não informado;8;2022-06-22;2006-01-23;7490104;Não informado;RUA;ABREU SODRE;75;Não informado;CENTRO;24900001.0;RJ;5853;21;27023618;21;27023618;21;27023618;Não informado;Não informado;Não informado
7996124;1;18;1;R & M BIJUTERIAS;8;2015-02-09;2006-04-27;4789001;Não informado;RODOVIA;AMARAL PEIXOTO;SN;KM 15 SHOPPING INOA SALA 119;INOA;24900001.0;RJ;5853;21;26011881;21;92317735;21;26011881;indaleciocordeiro@globo.com;Não informado;Não informado
8055514;1;56;1;Não informado;4;2018-11-30;2006-06-02;9001999;9001906;ESTRADA;DE ITAIPUACU,  COND. RESIDENCIAL ITAIPUACU VILLE;380;PARTE  LT.14  QD. 00;INOA;24900001.0;RJ;5853;21;26208100;21;26210140;Não informado;Não informado;Não informado;Não informado;Não informado
6060898;1;70;1;Não informado;8;2006-05-08;2003-12-18;4781400;Não informado;LOTEAMENTO;BOSQUE FUNDO;S/N;LT 2 QD 04;INOA;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
6590728;1;5;1;Não informado;8;2004-12-31;2004-07-19;9492800;Não informado;RUA;11 L35 QP MUMBUCA;0;MUMBUCA;MUMBUCA;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
6891336;1;78;1;Não informado;8;2004-12-31;2004-08-09;9492800;Não informado;RUA;64;S/N;L - 08 , Q - 121;JARDIM BALNEARIO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7834735;1;60;1;XPERT TREINAMENTO;8;2021-02-12;2006-02-03;8592999;5819100,5912099,4761001,8219999;RUA;DELSON BARBOSA DA COSTA;SN;"LOTE: 18; QUADRA: H;";FLAMENGO;24903785.0;RJ;5853;21;26342368;Não informado;Não informado;21;94678910;PAULOSOLER5@HOTMAIL.COM;Não informado;Não informado
29834355;1;68;1;Não informado;8;2008-12-31;1966-09-30;4711301;Não informado;;LOG  UBATIBA;S N;Não informado;SEGUNDO DISTRITO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
30175764;1;89;1;Não informado;8;2008-12-31;1987-02-24;9430800;9493600,9499500;RODOVIA;ERNANE DO A PEIXOTO;S/N;KM 15;INOA;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
31022700;1;0;1;Não informado;4;2018-11-30;1986-07-02;4723700;Não informado;RODOVIA;AMARAL PEIXOTO;S/N;KM 15 LOTE 02 Q 07;SAO JOSE DE IMBASSA;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
31842297;1;66;1;FAMMAR;2;2019-09-09;1988-11-07;9430800;9493600,9499500;AVENIDA;NOSSA SENHORA DE FATIMA;1349;Não informado;CHACARAS DE INOA;24940880.0;RJ;5853;21;26040249;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
35902972;1;56;1;Não informado;8;2008-12-31;1989-10-04;4774100;Não informado;RODOVIA;AMARAL PEIXOTO;SN;KM 22;SAO JOSE;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
39174404;1;37;1;Não informado;4;2018-11-30;1991-07-30;5822101;Não informado;PRACA;CONS MACEDO SOARES;176;A SALA 7;CENTRO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
39490214;1;29;1;Não informado;4;2018-11-30;1992-03-10;5611203;Não informado;ESTRADA;DA CACHOEIRA;SN;Não informado;SAO JOSE;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
7618210;1;97;1;DOG FAMILY;8;2020-01-09;2005-09-26;4789004;Não informado;AVENIDA;ROBERTO SILVEIRA;LT 19;QUADRA C LOJA 2;FLAMENGO;24900001.0;RJ;5853;21;56375635;Não informado;Não informado;Não informado;Não informado;neiltonfranco@ig.com.br;Não informado;Não informado
121770;1;92;1;Não informado;8;2012-06-06;1994-07-06;5611201;5611203,6399200;RUA;37;S/N;LOTE  5                   QUADRA162;JARDIM BALNEARIO;24900001.0;RJ;5853;21;26340710;Não informado;Não informado;Não informado;Não informado;smklein23@hotmail.com;Não informado;Não informado
5098266;1;32;1;MIB FESTAS;8;2022-02-24;2002-06-05;4759899;4618499;AVENIDA;FRANCISCO SABINO DA COSTA;0;QUADRA000C                LOTE  21                  LOJA  01 PARTE                  LOTEAM. SAO JOAQUIM;CENTRO;24900001.0;RJ;5853;21;26372819;Não informado;Não informado;21;26377482;Não informado;Não informado;Não informado
285938;1;3;1;Não informado;4;2018-11-30;1994-10-24;4751201;Não informado;AVENIDA;VER FRANCISCO S COSTA;287;B SALA 103;CENTRO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
2077537;1;85;1;Não informado;2;2005-11-03;1997-08-04;4761001;Não informado;RUA;35;S/N;LT 04 QD 32 PARTE;INOA;24910000.0;RJ;5853;21;26236189;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
2131570;1;46;1;ARTES DA TERRA;8;2008-12-31;1996-11-11;4774100;Não informado;AVENIDA;ROBERTO SILVEIRA SILVEIRA;152;LOJA A;CENTRO;24900001.0;RJ;5853;21;6372865;Não informado;Não informado;21;6372680;Não informado;Não informado;Não informado
2289315;1;26;1;LOCAMANIA VIDEO & GAME;2;2005-11-03;1997-12-01;4774100;Não informado;RUA;DI CAVALCANTE;24;LOJA 02;ITAPEBA;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
5675049;1;68;1;Não informado;8;2005-07-15;2003-05-19;8511200;Não informado;RUA;CAPITAO MELLO;S/N;QUADRA 13 LOTE 43;ITAIPUACU;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
4250780;1;89;1;Não informado;2;2004-09-04;2001-01-23;4712100;4721103,5611201,5611203;RODOVIA;AMARAL PEIXOTO KM. 21;S/N;LOTE 02, QUADRA A;SAO JOSE DE IMBASSAI;24900001.0;RJ;5853;21;6372680;Não informado;Não informado;21;6372865;Não informado;Não informado;Não informado
957815;1;63;1;OPCAO MINI MERCADO;8;2008-12-31;1995-11-24;5611203;Não informado;AVENIDA;CENTRAL;S/N;LOTE 8 QUADRA 120;CORDEIRINHO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
1009076;1;40;1;Não informado;8;2008-12-31;1996-01-10;4729601;Não informado;AVENIDA;CENTRAL 5;S/N;LT 04 QD 104 LOJA 3;CORDEIRINHO;24900001.0;RJ;5853;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
