cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;nome_fantasia;situacao_cadastral;data_situacao_cadastral;data_inicio_atividade;cnae_fiscal_principal;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd1;telefone1;ddd2;telefone2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial
19453734;1;54;1;CAVALCANTES PADARIA E PIZZARIA;4;2019-03-28;2013-12-27;4721102;4721104,4729699,5611203,5611204,5611201;RUA;GEORGILEI RODRIGUES QUADRA;S/N;QUADRA113                 LOTE  23;JARDIM ATLANTICO CENTRAL (ITAIPUACU);24934275.0;RJ;5853;21;24741705.0;Não informado;Não informado;21;24746011.0;jocar.contabilidade@hotmail.com;Não informado;Não informado
23116252;1;86;1;MERCEARIA & HORTIFRUTI;2;2015-08-22;2015-08-22;4724500;Não informado;RUA;NOVE;LT 14;QUADRA 40A;JARDIM ATLANTICO OESTE (ITAIPUACU);24935529.0;RJ;5853;21;21659916.0;Não informado;Não informado;Não informado;Não informado;marialopesbezerra9@gmail.com;Não informado;Não informado
23117247;1;98;1;SALAO WORLD HAIR;2;2021-06-01;2015-08-22;9602501;Não informado;AVENIDA;VEREADOR FRANCISCO SABINO DA COSTA;104;"LOJA 03;QUADRA 0000;LOTE 0004A";CENTRO;24900100.0;RJ;5853;21;37312761.0;Não informado;Não informado;Não informado;Não informado;RODRIGUALVES@GMAIL.COM;Não informado;Não informado
23117311;1;30;1;SALAO DA PATY;2;2021-09-08;2015-08-23;9602501;Não informado;AVENIDA;GUARUJA;s/n;"CASA lt:20;CASA qd:41";SAO JOSE DO IMBASSAI;24931100.0;RJ;5853;21;37314856.0;Não informado;Não informado;Não informado;Não informado;patricia_mss23@hotmail.com;Não informado;Não informado
23126408;1;0;1;BOM APETITE;4;2021-03-16;2015-08-24;5611204;5611203,5611201;ESTRADA;VELHA DE MARICA;10;Não informado;SAO JOSE DO IMBASSAI;24931185.0;RJ;5853;21;21823455.0;Não informado;Não informado;Não informado;Não informado;jorge_nick10@yahoo.com.br;Não informado;Não informado
23126596;1;76;1;Não informado;2;2015-08-24;2015-08-24;7319002;Não informado;RUA;DEZOITO;20;LOTE 429;RINCAO MIMOSO (ITAIPUACU);24938280.0;RJ;5853;21;70152530.0;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
23127300;1;31;1;INOS;4;2018-10-02;2015-06-01;9499500;0161099,0220906,7220700,9103100;RUA;BOSQUE FUNDO (LOT BSQ FUNDO);0;QUADRA6                   LOTE  9;INOA (INOA);24943125.0;RJ;5853;21;39171888.0;Não informado;Não informado;Não informado;Não informado;EVERTON.INOS@GMAIL.COM;Não informado;Não informado
23146391;1;52;1;SILVA NETO INSTALACOES ELETRICAS;4;2021-03-16;2015-08-26;4321500;4322301;RUA;GLAUBER ROCHA;416;CASA 2;ITAPEBA;24912250.0;RJ;5853;21;37319857.0;Não informado;Não informado;Não informado;Não informado;ricdamasceno@hotmail.com;Não informado;Não informado
23150803;1;28;1;ARTE POCOS;2;2015-08-26;2015-08-26;4399105;4312600;RODOVIA;ERNANI DO AMARAL PEIXOTO;33;QUADRA00                  LOTE  B3;ITAPEBA;24912710.0;RJ;5853;21;26361437.0;21;64232396.0;21;26360111.0;ARTEPOCOS@ARTEPOCOS.COM.BR;Não informado;Não informado
22700117;1;10;1;SUELLEN BRITTO;8;2018-09-10;2015-06-22;4781400;5620104,9602501,1093701,4772500;RUA;UM (LOT REC DOS REIS);12;Não informado;ITAPEBA;24912227.0;RJ;5853;21;26373787.0;Não informado;Não informado;Não informado;Não informado;suellen-britto@hotmail.com;Não informado;Não informado
23174950;1;38;1;BAUNILHA E CHOCOLATE;8;2018-06-18;2015-08-29;5620104;Não informado;RUA;BENEDITO OLIVEIRA DA SILVA;1297;Não informado;JACONE (PONTA NEGRA);24923725.0;RJ;5853;21;26344240.0;Não informado;Não informado;Não informado;Não informado;claudia-aguiarb@ig.com.br;Não informado;Não informado
23190478;1;27;1;NUCLEO DE TREINAMENTO KARATE SHOTOKAN HAYATO;4;2021-03-16;2015-09-01;8592999;4789001,8599699,9313100,4763602;RUA;IRINEU FERREIRA PINTO;374;"CASA 470;COND Elisa";PONTA GROSSA;24914345.0;RJ;5853;21;88042222.0;Não informado;Não informado;Não informado;Não informado;eliraposo7@gmail.com;Não informado;Não informado
23199295;1;72;1;Não informado;2;2015-06-30;2015-06-30;8112500;Não informado;RUA;VINTE E CINCO A;SN;"QUADRA: 84; LOTE: 19;";BARROCO (ITAIPUACU);24936440.0;RJ;5853;21;26373604.0;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
